127.0.0.1 - - [23/Apr/2019:10:43:37 +0700] "GET / HTTP/1.1" 404 1076
10.191.20.97 - - [23/Apr/2019:10:43:53 +0700] "GET /Musisearch/api/status/rest/all HTTP/1.1" 200 2433
10.191.20.97 - - [23/Apr/2019:10:43:57 +0700] "GET /Musisearch/api/groupband/rest/id?inMusisi=30 HTTP/1.1" 200 1272
10.191.20.97 - - [23/Apr/2019:10:45:54 +0700] "GET /Musisearch/api/musisi/rest/all?inId=30 HTTP/1.1" 200 1414
10.191.20.97 - - [23/Apr/2019:10:45:57 +0700] "GET /Musisearch/api/status/rest/all HTTP/1.1" 200 2433
10.191.20.97 - - [23/Apr/2019:10:46:20 +0700] "GET /Musisearch/api/groupband/rest/id?inMusisi=30 HTTP/1.1" 200 996
10.191.20.97 - - [23/Apr/2019:10:48:06 +0700] "GET /Musisearch/api/groupband/rest/id?inMusisi=30 HTTP/1.1" 200 996
10.191.20.97 - - [23/Apr/2019:10:48:39 +0700] "GET /Musisearch/api/instrument/rest/all HTTP/1.1" 200 921
10.191.20.97 - - [23/Apr/2019:10:48:39 +0700] "GET /Musisearch/api/genre/rest/all HTTP/1.1" 200 1591
10.191.20.97 - - [23/Apr/2019:10:48:42 +0700] "GET /Musisearch/api/musisi/rest/all?inId=30 HTTP/1.1" 200 1414
10.191.20.97 - - [23/Apr/2019:10:48:45 +0700] "GET /Musisearch/api/groupband/rest/id?inMusisi=30 HTTP/1.1" 200 996
0:0:0:0:0:0:0:1 - - [23/Apr/2019:11:17:38 +0700] "GET /Musisearch/swagger-ui.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:11:17:43 +0700] "GET /Musisearch/swagger-resources/configuration/ui HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [23/Apr/2019:11:17:43 +0700] "GET /Musisearch/webjars/springfox-swagger-ui/favicon-32x32.png?v=2.9.2 HTTP/1.1" 200 1141
0:0:0:0:0:0:0:1 - - [23/Apr/2019:11:17:43 +0700] "GET /Musisearch/swagger-resources/configuration/security HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [23/Apr/2019:11:17:43 +0700] "GET /Musisearch/swagger-resources HTTP/1.1" 200 101
0:0:0:0:0:0:0:1 - - [23/Apr/2019:11:17:43 +0700] "GET /Musisearch/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:11:17:44 +0700] "GET /Musisearch/v2/api-docs HTTP/1.1" 200 32730
0:0:0:0:0:0:0:1 - - [23/Apr/2019:11:17:44 +0700] "GET /Musisearch/login HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [23/Apr/2019:11:17:45 +0700] "GET /Musisearch/csrf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2019:11:17:45 +0700] "GET /Musisearch/login HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [23/Apr/2019:11:17:45 +0700] "GET /Musisearch/dist/img/logo.png HTTP/1.1" 200 78084
0:0:0:0:0:0:0:1 - - [23/Apr/2019:11:22:51 +0700] "GET /Musisearch/api/memberband/rest/all?inId=1 HTTP/1.1" 200 1030
10.191.20.97 - - [23/Apr/2019:11:32:33 +0700] "GET /Musisearch/api/status/rest/all HTTP/1.1" 200 2433
10.191.20.97 - - [23/Apr/2019:11:32:51 +0700] "GET /Musisearch/api/groupband/rest/id?inMusisi=30 HTTP/1.1" 200 996
10.191.20.97 - - [23/Apr/2019:11:34:20 +0700] "GET /Musisearch/api/status/rest/all HTTP/1.1" 200 2433
10.191.20.97 - - [23/Apr/2019:11:34:31 +0700] "GET /Musisearch/api/groupband/rest/id?inMusisi=30 HTTP/1.1" 200 996
10.191.20.97 - - [23/Apr/2019:11:34:57 +0700] "GET /Musisearch/api/status/rest/all HTTP/1.1" 200 2433
10.191.20.97 - - [23/Apr/2019:11:34:59 +0700] "GET /Musisearch/api/groupband/rest/id?inMusisi=30 HTTP/1.1" 200 996
10.191.20.97 - - [23/Apr/2019:11:35:01 +0700] "GET /Musisearch/api/memberband/rest/all?inId=1 HTTP/1.1" 200 1030
10.191.20.97 - - [23/Apr/2019:11:35:07 +0700] "GET /Musisearch/api/status/rest/all HTTP/1.1" 200 2433
10.191.20.97 - - [23/Apr/2019:11:35:10 +0700] "GET /Musisearch/api/groupband/rest/id?inMusisi=30 HTTP/1.1" 200 996
10.191.20.97 - - [23/Apr/2019:11:35:14 +0700] "GET /Musisearch/api/memberband/rest/all?inId=2 HTTP/1.1" 200 750
10.191.20.97 - - [23/Apr/2019:11:35:17 +0700] "GET /Musisearch/api/groupband/rest/id?inMusisi=30 HTTP/1.1" 200 996
10.191.20.97 - - [23/Apr/2019:11:35:20 +0700] "GET /Musisearch/api/memberband/rest/all?inId=1 HTTP/1.1" 200 1030
10.191.20.97 - - [23/Apr/2019:11:35:26 +0700] "GET /Musisearch/api/groupband/rest/id?inMusisi=30 HTTP/1.1" 200 996
10.191.20.97 - - [23/Apr/2019:11:39:26 +0700] "GET /Musisearch/api/status/rest/all HTTP/1.1" 200 2433
10.191.20.97 - - [23/Apr/2019:11:39:39 +0700] "GET /Musisearch/api/groupband/rest/id?inMusisi=30 HTTP/1.1" 200 996
10.191.20.97 - - [23/Apr/2019:11:39:40 +0700] "GET /Musisearch/api/memberband/rest/all?inId=1 HTTP/1.1" 200 1030
